"","V3","n","hgnc_symbol"
"438","ENSG00000082212",1,"ME2"
"439","ENSG00000082397",2,"EPB41L3"
"440","ENSG00000082458",1,"DLG3"
"441","ENSG00000082512",2,"TRAF5"
"442","ENSG00000082701",28,"GSK3B"
"443","ENSG00000082781",2,"ITGB5"
"444","ENSG00000082898",1,"XPO1"
"445","ENSG00000083093",1,"PALB2"
"446","ENSG00000083168",1,"KAT6A"
"447","ENSG00000083290",1,"ULK2"
"448","ENSG00000083312",1,"TNPO1"
"449","ENSG00000083457",1,"ITGAE"
"450","ENSG00000083535",3,"PIBF1"
"451","ENSG00000083544",1,"TDRD3"
"452","ENSG00000083720",1,"OXCT1"
"453","ENSG00000083799",3,"CYLD"
"454","ENSG00000083857",5,"FAT1"
"455","ENSG00000084092",1,"NOA1"
"456","ENSG00000084093",16,"REST"
"457","ENSG00000084207",18,"GSTP1"
"458","ENSG00000084234",3,"APLP2"
"459","ENSG00000084636",1,"COL16A1"
"460","ENSG00000084676",1,"NCOA1"
"461","ENSG00000085117",1,"CD82"
"462","ENSG00000085224",29,"ATRX"
"463","ENSG00000085377",1,"PREP"
"464","ENSG00000085563",17,"ABCB1"
"465","ENSG00000085733",2,"CTTN"
"466","ENSG00000085978",1,"ATG16L1"
"467","ENSG00000085998",1,"POMGNT1"
"468","ENSG00000085999",2,"RAD54L"
"469","ENSG00000086189",1,"DIMT1"
"470","ENSG00000086205",2,"FOLH1"
"471","ENSG00000086730",1,"LAT2"
"472","ENSG00000086758",1,"HUWE1"
"473","ENSG00000086991",3,"NOX4"
"474","ENSG00000087077",2,"TRIP6"
"475","ENSG00000087085",1,"ACHE"
"476","ENSG00000087086",2,"FTL"
"477","ENSG00000087087",3,"SRRT"
"478","ENSG00000087088",19,"BAX"
"479","ENSG00000087095",2,"NLK"
"480","ENSG00000087191",1,"PSMC5"
"481","ENSG00000087245",45,"MMP2"
"482","ENSG00000087250",1,"MT3"
"483","ENSG00000087258",1,"GNAO1"
"484","ENSG00000087299",1,"L2HGDH"
"485","ENSG00000087365",1,"SF3B2"
"486","ENSG00000087460",3,"GNAS"
"487","ENSG00000087470",4,"DNM1L"
"488","ENSG00000087586",12,"AURKA"
"489","ENSG00000087903",1,"RFX2"
"490","ENSG00000088179",1,"PTPN4"
"491","ENSG00000088247",1,"KHSRP"
"492","ENSG00000088305",5,"DNMT3B"
"493","ENSG00000088325",1,"TPX2"
"494","ENSG00000088782",1,"DEFB127"
"495","ENSG00000088832",1,"FKBP1A"
"496","ENSG00000088930",1,"XRN2"
"497","ENSG00000089009",1,"RPL6"
"498","ENSG00000089041",4,"P2RX7"
"499","ENSG00000089094",1,"KDM2B"
"500","ENSG00000089123",1,"TASP1"
"501","ENSG00000089159",3,"PXN"
"502","ENSG00000089220",6,"PEBP1"
"503","ENSG00000089250",5,"NOS1"
"504","ENSG00000089280",2,"FUS"
"505","ENSG00000089289",1,"IGBP1"
"506","ENSG00000089356",1,"FXYD3"
"507","ENSG00000089505",1,"CMTM1"
"508","ENSG00000089685",36,"BIRC5"
"509","ENSG00000089693",1,"MLF2"
"510","ENSG00000089902",1,"RCOR1"
"511","ENSG00000090006",1,"LTBP4"
"512","ENSG00000090020",4,"SLC9A1"
"513","ENSG00000090339",9,"ICAM1"
"514","ENSG00000090376",1,"IRAK3"
"515","ENSG00000090520",1,"DNAJB11"
"516","ENSG00000090554",2,"FLT3LG"
"517","ENSG00000090565",1,"RAB11FIP3"
"518","ENSG00000090659",1,"CD209"
"519","ENSG00000090686",1,"USP48"
"520","ENSG00000090776",2,"EFNB1"
"521","ENSG00000090863",1,"GLG1"
"522","ENSG00000090905",1,"TNRC6A"
"523","ENSG00000091136",2,"LAMB1"
"524","ENSG00000091317",1,"CMTM6"
"525","ENSG00000091409",5,"ITGA6"
"526","ENSG00000091542",1,"ALKBH5"
