"","V3","n","hgnc_symbol"
"465","ENSG00000072062",7,"PRKACA"
"466","ENSG00000072071",1,"ADGRL1"
"467","ENSG00000072080",1,"SPP2"
"468","ENSG00000072110",5,"ACTN1"
"469","ENSG00000072133",1,"RPS6KA6"
"470","ENSG00000072135",1,"PTPN18"
"471","ENSG00000072210",1,"ALDH3A2"
"472","ENSG00000072274",1,"TFRC"
"473","ENSG00000072310",8,"SREBF1"
"474","ENSG00000072364",1,"AFF4"
"475","ENSG00000072401",8,"UBE2D1"
"476","ENSG00000072415",2,"MPP5"
"477","ENSG00000072501",2,"SMC1A"
"478","ENSG00000072506",3,"HSD17B10"
"479","ENSG00000072571",4,"HMMR"
"480","ENSG00000072657",1,"TRHDE"
"481","ENSG00000072756",1,"TRNT1"
"482","ENSG00000072786",1,"STK10"
"483","ENSG00000072803",2,"FBXW11"
"484","ENSG00000072832",1,"CRMP1"
"485","ENSG00000072840",2,"EVC"
"486","ENSG00000072858",1,"SIDT1"
"487","ENSG00000072952",2,"MRVI1"
"488","ENSG00000073008",2,"PVR"
"489","ENSG00000073050",29,"XRCC1"
"490","ENSG00000073060",2,"SCARB1"
"491","ENSG00000073111",2,"MCM2"
"492","ENSG00000073282",17,"TP63"
"493","ENSG00000073578",1,"SDHA"
"494","ENSG00000073584",4,"SMARCE1"
"495","ENSG00000073711",1,"PPP2R3A"
"496","ENSG00000073712",3,"FERMT2"
"497","ENSG00000073756",62,"PTGS2"
"498","ENSG00000073792",2,"IGF2BP2"
"499","ENSG00000073849",1,"ST6GAL1"
"500","ENSG00000074047",10,"GLI2"
"501","ENSG00000074181",3,"NOTCH3"
"502","ENSG00000074211",3,"PPP2R2C"
"503","ENSG00000074266",2,"EED"
"504","ENSG00000074276",1,"CDHR2"
"505","ENSG00000074319",4,"TSG101"
"506","ENSG00000074370",1,"ATP2A3"
"507","ENSG00000074416",2,"MGLL"
"508","ENSG00000074527",1,"NTN4"
"509","ENSG00000074657",1,"ZNF532"
"510","ENSG00000074696",1,"HACD3"
"511","ENSG00000074800",4,"ENO1"
"512","ENSG00000074803",1,"SLC12A1"
"513","ENSG00000074855",1,"ANO8"
"514","ENSG00000075142",1,"SRI"
"515","ENSG00000075151",2,"EIF4G3"
"516","ENSG00000075213",5,"SEMA3A"
"517","ENSG00000075223",4,"SEMA3C"
"518","ENSG00000075234",1,"TTC38"
"519","ENSG00000075239",3,"ACAT1"
"520","ENSG00000075292",1,"ZNF638"
"521","ENSG00000075391",1,"RASAL2"
"522","ENSG00000075413",1,"MARK3"
"523","ENSG00000075415",1,"SLC25A3"
"524","ENSG00000075426",1,"FOSL2"
"525","ENSG00000075539",1,"FRYL"
"526","ENSG00000075618",3,"FSCN1"
"527","ENSG00000075624",8,"ACTB"
"528","ENSG00000075643",1,"MOCOS"
"529","ENSG00000075673",2,"ATP12A"
"530","ENSG00000075711",1,"DLG1"
"531","ENSG00000075785",4,"RAB7A"
"532","ENSG00000075790",2,"BCAP29"
"533","ENSG00000075856",1,"SART3"
"534","ENSG00000075891",5,"PAX2"
"535","ENSG00000075945",2,"KIFAP3"
"536","ENSG00000076003",2,"MCM6"
"537","ENSG00000076108",1,"BAZ2A"
"538","ENSG00000076242",11,"MLH1"
"539","ENSG00000076248",2,"UNG"
"540","ENSG00000076321",1,"KLHL20"
"541","ENSG00000076344",1,"RGS11"
"542","ENSG00000076356",1,"PLXNA2"
"543","ENSG00000076382",1,"SPAG5"
"544","ENSG00000076554",17,"TPD52"
"545","ENSG00000076555",2,"ACACB"
"546","ENSG00000076604",4,"TRAF4"
