"Entity1_id","numChemical","Ensembl.Id","Symbol"
"PA38100",3,"ENSG00000101162","TUBB1"
"PA38274",3,"ENSG00000130204","TOMM40"
"PA38453",3,"ENSG00000173198","CYSLTR1"
"PA387",3,"ENSG00000156222","SLC28A1"
"PA391",3,"ENSG00000143257","NR1I3"
"PA396",3,"ENSG00000069431","ABCC9"
"PA429",3,"ENSG00000171560","FGA"
"PA430",3,"ENSG00000171557","FGG"
"PA432",3,"ENSG00000137563","GGH"
"PA50",3,"ENSG00000084674","APOB"
"PA72",3,"ENSG00000165240","ATP7A"
"PA73",3,"ENSG00000123191","ATP7B"
"PA75",3,"ENSG00000110092","CCND1"
"PA108",2,"ENSG00000087237","CETP"
"PA113",2,"ENSG00000080644","CHRNA3"
"PA128394594",2,"ENSG00000213809","KLRK1"
"PA130413151",2,"ENSG00000108691","CCL2"
"PA134863598",2,"ENSG00000184735","DDX53"
"PA134865095",2,"ENSG00000067560","RHOA"
"PA134871999",2,"ENSG00000145996","CDKAL1"
"PA134879149",2,"ENSG00000092096","SLC22A17"
"PA134881141",2,"ENSG00000146383","TAAR6"
"PA134887081",2,"ENSG00000160963","COL26A1"
"PA134889062",2,"ENSG00000181804","SLC9A9"
"PA134892408",2,"ENSG00000173930","SLCO4C1"
"PA134903108",2,"ENSG00000164465","DCBLD1"
"PA134903681",2,"ENSG00000102935","ZNF423"
"PA134906523",2,"","CES1P1"
"PA134907262",2,"ENSG00000183354","KIAA2026"
"PA134908144",2,"ENSG00000147894","C9orf72"
"PA134911502",2,"ENSG00000004809","SLC22A16"
"PA134912826",2,"ENSG00000152527","PLEKHH2"
"PA134916697",2,"ENSG00000135002,ENSG00000250683","RFK"
"PA134917440",2,"ENSG00000178567","EPM2AIP1"
"PA134924114",2,"ENSG00000197818","SLC9A8"
"PA134924986",2,"ENSG00000182346","DAOA"
"PA134931380",2,"ENSG00000176438","SYNE3"
"PA134935109",2,"ENSG00000162594","IL23R"
"PA134936640",2,"ENSG00000132744","ACY3"
"PA134943193",2,"ENSG00000150347","ARID5B"
"PA134949852",2,"ENSG00000205359","SLCO6A1"
"PA134950929",2,"ENSG00000110328","GALNT18"
"PA134953249",2,"","BDNF-AS"
"PA134964409",2,"ENSG00000183347","GBP6"
"PA134968729",2,"ENSG00000161653","NAGS"
"PA134971144",2,"ENSG00000083223","TUT7"
"PA142670495",2,"ENSG00000143067","ZNF697"
"PA142670525",2,"ENSG00000165061","ZMAT4"
"PA142670856",2,"ENSG00000213599,ENSG00000213648","SULT1A4"
"PA142671748",2,"ENSG00000165219","GAPVD1"
"PA142672636",2,"ENSG00000186094","AGBL4"
"PA145",2,"ENSG00000188641","DPYD"
"PA145007789",2,"","SNORD68"
"PA145008433",2,"ENSG00000144401","METTL21A"
"PA145148868",2,"ENSG00000124279","FASTKD3"
"PA162384080",2,"ENSG00000111817","DSE"
